# Baseline transonic compressor profile L030-4
# 425 points - extracted from coarse mesh (blocks 3-4-7-6)
-1.608747238931674e-03 2.561702184110038e-03
-1.649011277599055e-03 3.483800221346196e-03
-1.455470938314148e-03 4.423163998911831e-03
-1.017721220410695e-03 5.318538665669986e-03
-4.832228355275334e-04 6.207445051073934e-03
7.289052345317996e-05 7.129010641735916e-03
6.513349006195954e-04 8.083803369722337e-03
1.252558329287326e-03 9.072504078457678e-03
1.876962996737550e-03 1.009577106916004e-02
2.524897908627134e-03 1.115423757506121e-02
3.196651117985305e-03 1.224850923557583e-02
3.892441551408738e-03 1.337916157419034e-02
4.612410476032078e-03 1.454673747994806e-02
5.356612662774045e-03 1.575174468768619e-02
6.125007318741455e-03 1.699465325743256e-02
6.917450083864879e-03 1.827589214164650e-02
7.732530545661081e-03 1.959370470690071e-02
8.561327739882840e-03 2.093366435624438e-02
9.415466675320254e-03 2.231448008464151e-02
1.029555171489037e-02 2.373702798242888e-02
1.120219260074957e-02 2.520217554309465e-02
1.213600405886447e-02 2.671077913300425e-02
1.309760540786255e-02 2.826368132575729e-02
1.408762015506283e-02 2.986170807342518e-02
1.510667558003938e-02 3.150566571300001e-02
1.615540230589302e-02 3.319633780724394e-02
1.723443385816544e-02 3.493448182007719e-02
1.834440621104245e-02 3.672082562772527e-02
1.948595731350220e-02 3.855606385737776e-02
2.065972663729998e-02 4.044085412622091e-02
2.186314527477787e-02 4.237067006315950e-02
2.307180094885010e-02 4.430603030311606e-02
2.428421870478260e-02 4.624446270125512e-02
2.550765729197020e-02 4.819758113411981e-02
2.674963797113443e-02 5.017735551048071e-02
2.801813561613767e-02 5.219640936389616e-02
2.932179133282875e-02 5.426835356704685e-02
3.067016151682324e-02 5.640817408883805e-02
3.207401933984665e-02 5.863269845665681e-02
3.354573000618537e-02 6.096117360194378e-02
3.509972915717256e-02 6.341599989229033e-02
3.675314592450961e-02 6.602368448408713e-02
3.852663050625409e-02 6.881610536413083e-02
4.036653410162399e-02 7.170816007233106e-02
4.223049940091755e-02 7.463285028813706e-02
4.413738649153201e-02 7.761940552682041e-02
4.610668604907747e-02 8.069780489961272e-02
4.816037017622490e-02 8.390162681587178e-02
5.032395443536522e-02 8.726962530873658e-02
5.262789454325001e-02 9.084778392639214e-02
5.510949020185220e-02 9.469209473905171e-02
5.781551721871935e-02 9.887247397837463e-02
6.080607721105204e-02 1.034783859402930e-01
6.416042516542177e-02 1.086271544829330e-01
6.798592737239670e-02 1.144767561596830e-01
7.229928608516845e-02 1.210439340226030e-01
7.664673048130431e-02 1.276326522812960e-01
8.095453700249292e-02 1.341312860411290e-01
8.519770441881425e-02 1.405032485403590e-01
8.935274989046324e-02 1.467148522280320e-01
9.339825765130710e-02 1.527359207440830e-01
9.731521589382451e-02 1.585403182160890e-01
1.010872790440520e-01 1.641062850459890e-01
1.047009338269330e-01 1.694165917126830e-01
1.081455102716370e-01 1.744585618674610e-01
1.114540505019130e-01 1.792832844277500e-01
1.146093747638720e-01 1.838681511087790e-01
1.175906159045750e-01 1.881854313233710e-01
1.204459802359370e-01 1.923071536254850e-01
1.232166976320090e-01 1.962942349868020e-01
1.259395283216160e-01 2.002003969119280e-01
1.286487840311190e-01 2.040752108158320e-01
1.313780899961350e-01 2.079666701045630e-01
1.341620724430550e-01 2.119235914858580e-01
1.370381351504390e-01 2.159981168248290e-01
1.370381351504390e-01 2.159981168248290e-01
1.399953278901590e-01 2.201735945261720e-01
1.431776137941790e-01 2.246511664455270e-01
1.465759796128680e-01 2.294148915298190e-01
1.501755191513750e-01 2.344406317014780e-01
1.539552748338040e-01 2.396959696412100e-01
1.578884626461340e-01 2.451405838709140e-01
1.619429289329520e-01 2.507272541513210e-01
1.660820285172190e-01 2.564033445197390e-01
1.702658261114750e-01 2.621127258387330e-01
1.744525010748220e-01 2.677980298926050e-01
1.786251495950810e-01 2.734366514231820e-01
1.829446284664220e-01 2.792448743508620e-01
1.874383788519730e-01 2.852564967331040e-01
1.920892777557380e-01 2.914450657553970e-01
1.968771092152850e-01 2.977803756463050e-01
2.017788024184770e-01 3.042289938324660e-01
2.067687304896430e-01 3.107549791250650e-01
2.118192225856190e-01 3.173206442200590e-01
2.169012140707990e-01 3.238873702961910e-01
2.219849300063230e-01 3.304164929239690e-01
2.270405897709110e-01 3.368702009346050e-01
2.320390669390150e-01 3.432124264202550e-01
2.369957421329210e-01 3.494639271546110e-01
2.420334546057660e-01 3.557792415441690e-01
2.471559710149300e-01 3.621612360966770e-01
2.523478076020960e-01 3.685888954705580e-01
2.575925410079850e-01 3.750406170984110e-01
2.628730298191220e-01 3.814944830759380e-01
2.681716532148090e-01 3.879285431776040e-01
2.734705282487650e-01 3.943211273942700e-01
2.787517556000070e-01 4.006511334296920e-01
2.839976776638090e-01 4.068982880300060e-01
2.891968760779030e-01 4.130500287093860e-01
2.944762342978860e-01 4.192559852712910e-01
2.999593893398810e-01 4.256580461422770e-01
3.056232036817030e-01 4.322247009802250e-01
3.114404660755140e-01 4.389209505312400e-01
3.173805208248830e-01 4.457088163364710e-01
3.234102099298880e-01 4.525478497041240e-01
3.294948188261580e-01 4.593958557218980e-01
3.355983067689280e-01 4.662104059934540e-01
3.416827998286190e-01 4.729511107289810e-01
3.477095617966390e-01 4.795805709481320e-01
3.536419516092900e-01 4.860633975057530e-01
3.594670457970360e-01 4.923788398773220e-01
3.653194892783910e-01 4.986577680760750e-01
3.712508071189020e-01 5.049417302341900e-01
3.772433781796900e-01 5.112232246193880e-01
3.832727657916890e-01 5.175010038296241e-01
3.893188740139570e-01 5.237696124617570e-01
3.953777361203620e-01 5.300080097541811e-01
4.014491668740100e-01 5.361914206054660e-01
4.075263211525470e-01 5.423016682295170e-01
4.135915200925860e-01 5.483318069594680e-01
4.196265601355460e-01 5.542763351589660e-01
4.256173522999020e-01 5.601266306523600e-01
4.315535034713920e-01 5.658714110197980e-01
4.374249226371390e-01 5.715002950166760e-01
4.432336740809700e-01 5.770171553779350e-01
4.490037179088970e-01 5.824475278811559e-01
4.546961161880040e-01 5.877574786883220e-01
4.603113733760590e-01 5.929497511902200e-01
4.658501881107170e-01 5.980268396944660e-01
4.713132311825110e-01 6.029912264649701e-01
4.767009950491140e-01 6.078455502838840e-01
4.820139092181870e-01 6.125924841360140e-01
4.872524385745580e-01 6.172346271456730e-01
4.924171288339590e-01 6.217744518178761e-01
4.975085846814980e-01 6.262143265888620e-01
5.025274263279300e-01 6.305565641521630e-01
5.074743069021090e-01 6.348034009235410e-01
5.123499233865170e-01 6.389569834429630e-01
5.171549819672669e-01 6.430194081038770e-01
5.218901825632249e-01 6.469927383602060e-01
5.265561533901360e-01 6.508790879752649e-01
5.311740533863050e-01 6.546975019635950e-01
5.356647231651890e-01 6.583844082541250e-01
5.400278997105090e-01 6.619420361296769e-01
5.442787820974020e-01 6.653848545026960e-01
5.484312989363900e-01 6.687258860171700e-01
5.524982872454580e-01 6.719769454009000e-01
5.564916564129260e-01 6.751488309588990e-01
5.604225088067620e-01 6.782515172181171e-01
5.643013021513220e-01 6.812942515386250e-01
5.681379805349960e-01 6.842856542758450e-01
5.719420801787370e-01 6.872338223848640e-01
5.757228365892790e-01 6.901464085627670e-01
5.794892755851440e-01 6.930307035083660e-01
5.832502886726390e-01 6.958937255514880e-01
5.870147164107530e-01 6.987422910201810e-01
5.907914337307431e-01 7.015830765922290e-01
5.945859871886190e-01 7.044200881286981e-01
5.984298084021350e-01 7.072763947158640e-01
6.023206076417370e-01 7.101496603195470e-01
6.062212501003180e-01 7.130120967466660e-01
6.100941609090130e-01 7.158364134501310e-01
6.139027234832440e-01 7.185969004545760e-01
6.176127376644830e-01 7.212701980446889e-01
6.211936021646940e-01 7.238360032567800e-01
6.246192287623770e-01 7.262775532488920e-01
6.278688495239140e-01 7.285815773055410e-01
6.309271168020720e-01 7.307385545427060e-01
6.337838236014920e-01 7.327428867200970e-01
6.364336128816850e-01 7.345925719254300e-01
6.388755083761229e-01 7.362887462308479e-01
6.411123166766500e-01 7.378351648355510e-01
6.431497958743460e-01 7.392379095136620e-01
6.449960637212100e-01 7.405047506489940e-01
6.466612153392770e-01 7.416442863898099e-01
6.481566959584740e-01 7.426655802191831e-01
6.494947407090960e-01 7.435778801421510e-01
6.506879109546690e-01 7.443903880776470e-01
6.517487254534160e-01 7.451120778881840e-01
6.526893791195580e-01 7.457515582308120e-01
6.535215389301340e-01 7.463169750978340e-01
6.542562051469770e-01 7.468159482681830e-01
6.549036259516759e-01 7.472555357709399e-01
6.554732543750680e-01 7.476422207382650e-01
6.559737375956090e-01 7.479819155078030e-01
6.564129301975949e-01 7.482799785354710e-01
6.567979243643380e-01 7.485412403243680e-01
6.571350913974450e-01 7.487700352906590e-01
6.574301301571150e-01 7.489702371083879e-01
6.576881190641010e-01 7.491452956345960e-01
6.576881190641010e-01 7.491452956345960e-01
6.579362087703110e-01 7.493128617436130e-01
6.581843093001550e-01 7.494652059543470e-01
6.584367745905720e-01 7.495942360360240e-01
6.586913666476050e-01 7.497018491404051e-01
6.589467157304660e-01 7.497888037583630e-01
6.592014972452110e-01 7.498561329843960e-01
6.594545686135110e-01 7.499048192416710e-01
6.597049301333290e-01 7.499358303003630e-01
6.599517096855350e-01 7.499501088550010e-01
6.601941476339540e-01 7.499485671474880e-01
6.604315829528540e-01 7.499320842284750e-01
6.606634410894831e-01 7.499015039759890e-01
6.608892230053320e-01 7.498576336970760e-01
6.611084954858200e-01 7.498012441727741e-01
6.613208824990749e-01 7.497330699008840e-01
6.615260574499220e-01 7.496538096780930e-01
6.617237364514200e-01 7.495641280174690e-01
6.619136723433739e-01 7.494646565831280e-01
6.620956491024230e-01 7.493559953277690e-01
6.622694772707550e-01 7.492387145527341e-01
6.624349897145539e-01 7.491133566992840e-01
6.625920377976400e-01 7.489804380559290e-01
6.627404882239090e-01 7.488404509103200e-01
6.628802200174440e-01 7.486938653398810e-01
6.630111697628870e-01 7.485410725652010e-01
6.631395469832680e-01 7.483737953380830e-01
6.632734620723650e-01 7.481762251551800e-01
6.634095845815901e-01 7.479434037569740e-01
6.635429372013441e-01 7.476700527668940e-01
6.636664311518000e-01 7.473508746802110e-01
6.637703659741120e-01 7.469810624189130e-01
6.638419560051571e-01 7.465570935495800e-01
6.638649903618230e-01 7.460778822954970e-01
6.638198060094740e-01 7.455463414555840e-01
6.636838234652800e-01 7.449713413089760e-01
6.634329614982780e-01 7.443699336486790e-01
6.630435389699240e-01 7.437702004391340e-01
6.625226240438890e-01 7.431865703671650e-01
6.619467409347760e-01 7.425617098910340e-01
6.613226628646470e-01 7.418894351706939e-01
6.606507738127690e-01 7.411709846084690e-01
6.599325526919120e-01 7.404086151041060e-01
6.591706614317910e-01 7.396056787217909e-01
6.583690078598610e-01 7.387666283825970e-01
6.575327445441880e-01 7.378969674825741e-01
6.566681927818550e-01 7.370031403470750e-01
